drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-7.45463e-09,0.00654914,1,6.93928e+06,0.00325237,0.576728,172.378,1.90783,16474.3,0.00444337,99266.8,375.172,1.09689e-09,36759.2,0,0,0,0.353553,0.353553,-0.5,0,2
-7.74272e-09,0.18527,1,6.92288e+06,0.00325496,0.577273,339.161,1.90619,14776.7,0.107015,99385.7,375.263,1.0981e-09,59685.2,-14.1177,11.0018,-1.77011e-15,0.388908,0.388908,-0.5,1,2
-8.01478e-09,0.293614,1,6.89234e+06,0.00325976,0.57808,552.164,1.90504,13725.7,0.169735,99547.7,375.347,1.09889e-09,97534.5,10.741,0.806709,-3.29544e-16,0.424264,0.424264,-0.5,2,2
-7.68252e-09,0.286694,1,6.92709e+06,0.00325433,0.578589,605.923,1.90878,20088.3,0.165875,99609.5,375.25,1.09586e-09,116231,39.2101,-0.614814,2.54996e-16,0.459619,0.459619,-0.5,3,2
-6.69552e-09,0.265744,1,7.0931e+06,0.00322904,0.579203,578.122,1.91867,59557.7,0.153901,99636.1,374.955,1.08812e-09,113528,70.598,0.283817,5.84524e-16,0.494975,0.494975,-0.5,4,2
-4.53941e-09,0.228015,1,7.25676e+06,0.0032044,0.580395,474.478,1.93983,930387,0.132272,99666.8,374.309,1.07228e-09,89616.4,102.136,1.57822,-4.70952e-16,0.53033,0.53033,-0.5,5,2
-1.55591e-09,0.184205,1,7.25975e+06,0.00320382,0.582014,335.698,1.96925,8.2124e+06,0.107127,99709.8,373.439,1.0511e-09,56751.9,125.731,2.35076,-4.42704e-16,0.565685,0.565685,-0.5,6,2
1.12442e-09,0.141759,1,7.07565e+06,0.00323198,0.583544,209.716,1.99653,2.58746e+07,0.0826788,99762,372.665,1.03214e-09,29876.7,138.986,3.12973,1.11286e-17,0.601041,0.601041,-0.5,7,2
2.84499e-09,0.109163,1,6.57869e+06,0.00331707,0.584629,123.652,2.01532,4.94533e+07,0.0638069,99805.6,372.142,1.01948e-09,13588.9,144.537,3.79769,-1.70729e-17,0.636396,0.636396,-0.5,8,2
3.52599e-09,0.089381,1,5.6799e+06,0.00349613,0.58523,74.9255,2.02481,7.23311e+07,0.052305,99840,371.891,1.01329e-09,6249.44,146.73,4.13078,-2.76433e-16,0.671752,0.671752,-0.5,9,2
3.43599e-09,0.0732328,1,4.47264e+06,0.00383481,0.585601,47.1486,2.0276,8.16587e+07,0.0428826,99886.4,371.828,1.01147e-09,3021.34,147.134,3.78655,-2.25513e-16,0.707107,0.707107,-0.5,10,2
-7.4425e-09,0.00693784,1,6.9236e+06,0.00325482,0.575499,194.443,1.90596,13816.2,0.00469734,99059.3,375.168,1.09857e-09,43369.8,0,0,0,0.324724,0.380203,-0.5,11,2
-7.66494e-09,0.159472,1,6.87038e+06,0.00326325,0.576292,386.28,1.90516,13203.7,0.0919722,99215.8,375.249,1.09908e-09,84794.3,-5.47304,7.72717,9.05801e-16,0.357196,0.418223,-0.5,12,2
-7.67349e-09,0.2363,1,6.85799e+06,0.0032652,0.577805,572.566,1.90741,17548.8,0.136535,99473.6,375.251,1.09707e-09,125734,35.0606,-1.87461,1.86167e-16,0.389669,0.456243,-0.5,13,2
-6.55108e-09,0.21517,1,7.06163e+06,0.00323412,0.579043,511.178,1.91956,78375.6,0.124565,99596.1,374.917,1.08751e-09,109713,71.7987,-0.818131,2.34896e-17,0.422141,0.494264,-0.5,14,2
-3.81403e-09,0.182959,1,7.307e+06,0.00319723,0.580435,390.325,1.94645,2.28549e+06,0.106148,99619.9,374.117,1.06757e-09,76645.6,108.392,1.59158,-6.87569e-16,0.454614,0.532284,-0.5,15,2
-2.3424e-10,0.155051,1,7.34214e+06,0.0031918,0.582343,259.107,1.98191,1.59501e+07,0.0902582,99664.7,373.073,1.04235e-09,42003.2,132.624,3.65034,1.70323e-16,0.487086,0.570304,-0.5,16,2
2.45574e-09,0.132382,1,7.09006e+06,0.00323041,0.583978,156.633,2.00975,4.2354e+07,0.0772992,99731,372.286,1.02326e-09,18061.4,143.204,4.76676,-3.10435e-16,0.519558,0.608325,-0.5,17,2
3.63701e-09,0.113669,1,6.41078e+06,0.00335081,0.584894,98.6147,2.02383,7.00954e+07,0.0664811,99782.1,371.898,1.01397e-09,8279.32,146.793,5.45533,1.61535e-16,0.552031,0.646345,-0.5,18,2
3.76724e-09,0.0951335,1,5.18254e+06,0.00363904,0.585416,62.2525,2.02898,8.88933e+07,0.0556906,99836.8,371.771,1.01064e-09,3934.6,147.804,5.68472,7.80272e-16,0.584503,0.684365,-0.5,19,2
3.49936e-09,0.07856,1,3.94023e+06,0.00400799,0.585749,39.6336,2.03031,9.56438e+07,0.0460151,99888.8,371.753,1.00976e-09,1908.54,147.863,5.35216,-1.78564e-16,0.616976,0.722386,-0.5,20,2
3.04262e-09,0.0585743,1,2.9639e+06,0.00440943,0.585975,24.5184,2.02866,8.7904e+07,0.0343213,99944,371.814,1.01076e-09,948.192,147.16,5.2394,-3.16601e-16,0.649448,0.760406,-0.5,21,2
-7.18686e-09,0.0067243,1,6.92636e+06,0.00325438,0.575162,181.752,1.90764,16076.2,0.00454998,98985,375.102,1.0973e-09,38711.8,0,0,0,0.293892,0.404508,-0.5,22,2
-7.04771e-09,0.128995,1,6.85051e+06,0.00326644,0.575593,329.766,1.90933,19584.7,0.0742806,99051.9,375.081,1.09591e-09,76080,8.33169,5.30947,3.56055e-17,0.323282,0.444959,-0.5,23,2
-6.27335e-09,0.173141,1,6.92142e+06,0.00325563,0.577381,439.894,1.91898,68265.9,0.0999669,99291.2,374.841,1.08821e-09,101211,69.9775,-1.64144,-1.01687e-15,0.352671,0.48541,-0.5,24,2
-3.63277e-09,0.154878,1,7.28309e+06,0.00320116,0.580048,332.659,1.94724,2.45786e+06,0.0898226,99535.4,374.055,1.06709e-09,67202.4,108.43,1.90414,-3.81723e-16,0.38206,0.525861,-0.5,25,2
3.83772e-10,0.145303,1,7.4622e+06,0.0031746,0.582308,219.779,1.98741,1.83164e+07,0.0846143,99610.2,372.899,1.03856e-09,32720.7,134.966,4.11269,-5.52981e-16,0.41145,0.566312,-0.5,26,2
3.20034e-09,0.14502,1,7.18606e+06,0.00321622,0.583847,148.307,2.01639,5.21348e+07,0.0846713,99649.5,372.074,1.01891e-09,14713.2,145.491,5.88457,-8.61224e-19,0.440839,0.606763,-0.5,27,2
4.0658e-09,0.13326,1,6.28874e+06,0.00338128,0.58475,98.8897,2.02817,8.50328e+07,0.0779212,99721.8,371.772,1.01124e-09,6985.89,148.23,6.51968,3.24798e-16,0.470228,0.647214,-0.5,28,2
3.92614e-09,0.106668,1,4.85362e+06,0.00372839,0.585262,61.6948,2.0314,1.01028e+08,0.0624259,99789.3,371.698,1.00915e-09,3341.18,148.73,6.707,1.99712e-16,0.499617,0.687664,-0.5,29,2
3.45678e-09,0.07776,1,3.41946e+06,0.00420015,0.585599,36.1578,2.03147,1.01894e+08,0.0455348,99849.6,371.707,1.00906e-09,1548.61,148.433,6.6322,4.70514e-16,0.529007,0.728115,-0.5,30,2
2.98059e-09,0.0547479,1,2.49129e+06,0.00461336,0.585812,20.8948,2.0297,9.29411e+07,0.0320721,99904.2,371.773,1.01013e-09,725.087,147.627,6.47857,-2.4038e-17,0.558396,0.768566,-0.5,31,2
2.52699e-09,0.037024,1,2.01267e+06,0.00493534,0.585999,11.6562,2.02621,7.64322e+07,0.0216954,99967.2,371.885,1.01228e-09,337.745,146.42,6.35801,-4.46294e-16,0.587785,0.809017,-0.5,32,2
-7.08568e-09,0.00607701,1,6.88056e+06,0.00326163,0.576299,146.665,1.91016,19600.9,0.0041198,99164.5,375.08,1.09512e-09,28125.7,0,0,0,0.261249,0.42632,-0.5,33,2
-5.80645e-09,0.100769,1,6.81423e+06,0.00327223,0.576509,231.857,1.92158,114811,0.0580919,99104.4,374.716,1.08642e-09,48605.2,30.1696,4.39631,-2.84128e-16,0.287374,0.468952,-0.5,34,2
-3.35832e-09,0.132349,1,7.08359e+06,0.00323203,0.577894,285.45,1.94568,878476,0.0764764,99147.6,373.989,1.0683e-09,56742.6,103.072,1.02125,-4.93579e-16,0.313499,0.511584,-0.5,35,2
8.82462e-11,0.142243,1,7.51045e+06,0.00316813,0.581037,219.876,1.98237,1.45044e+07,0.0826685,99411.9,372.98,1.04216e-09,32637.4,134.52,5.86219,-1.99232e-16,0.339624,0.554216,-0.5,36,2
3.33839e-09,0.156136,1,7.38071e+06,0.00318732,0.583537,160.529,2.01691,5.44818e+07,0.0911155,99587.4,372.048,1.01862e-09,15658.2,146.166,6.15132,-3.70531e-16,0.365749,0.596848,-0.5,37,2
4.35914e-09,0.14659,1,6.40886e+06,0.00336227,0.584382,110.634,2.03031,9.66075e+07,0.0856609,99635.7,371.694,1.00996e-09,7737.99,149.437,7.30332,6.76099e-17,0.391874,0.63948,-0.5,38,2
4.11704e-09,0.111521,1,4.72882e+06,0.00376424,0.584904,66.6533,2.03336,1.12648e+08,0.0652247,99705.8,371.626,1.00799e-09,3629.98,149.76,7.59171,5.56516e-16,0.417999,0.682112,-0.5,39,2
3.55473e-09,0.0741485,1,3.21005e+06,0.00427209,0.585283,35.8465,2.03305,1.10925e+08,0.0433958,99778.8,371.652,1.00813e-09,1577.2,149.156,7.7416,2.75644e-16,0.444124,0.724744,-0.5,40,2
3.04076e-09,0.0476859,1,2.34885e+06,0.00469569,0.585571,18.6807,2.03094,9.9212e+07,0.0279222,99849.6,371.728,1.00939e-09,667.491,148.137,7.68443,2.45539e-16,0.470249,0.767376,-0.5,41,2
2.59591e-09,0.0336378,1,1.95149e+06,0.00497529,0.585793,10.572,2.02729,8.0637e+07,0.0197043,99919.7,371.843,1.01163e-09,306.83,146.845,7.63445,2.59813e-17,0.496374,0.810008,-0.5,42,2
2.28271e-09,0.0279411,1,1.74626e+06,0.00515628,0.586058,6.94434,2.02438,6.77524e+07,0.0163746,99992.1,371.944,1.01342e-09,159.498,145.76,7.39365,-2.61576e-16,0.522499,0.85264,-0.5,43,2
-6.48915e-09,0.00561647,1,6.04237e+06,0.00341891,0.578393,122.611,1.91618,38870.6,0.0038218,99484.4,374.966,1.09013e-09,21553.7,0,0,0,0.226995,0.445503,-0.5,44,2
-3.98967e-09,0.0913065,1,6.39815e+06,0.00335038,0.579835,176.605,1.94206,1.68803e+06,0.0529813,99526.1,374.2,1.07096e-09,31010.1,61.7447,13.4973,1.95553e-15,0.249695,0.490053,-0.5,45,2
-7.88304e-11,0.126295,1,7.27656e+06,0.00320516,0.580927,215.404,1.98027,7.95071e+06,0.0733666,99403.2,373.039,1.04336e-09,33982.6,126.873,4.66312,2.13586e-16,0.272394,0.534604,-0.5,46,2
2.80038e-09,0.151474,1,7.69203e+06,0.00314291,0.582191,180.528,2.00917,4.39879e+07,0.0882215,99402.1,372.23,1.02391e-09,20675,146.215,9.45006,4.62038e-16,0.295094,0.579154,-0.5,47,2
4.50189e-09,0.160182,1,6.83222e+06,0.00328501,0.584094,132.362,2.0303,9.83708e+07,0.0935594,99584.9,371.699,1.01002e-09,10175.8,149.973,8.00139,2.57934e-16,0.317793,0.623704,-0.5,48,2
4.43792e-09,0.120755,1,4.98001e+06,0.00369936,0.584565,78.0019,2.03561,1.27163e+08,0.0705822,99631.9,371.573,1.00664e-09,4598.6,150.691,8.69709,2.10082e-16,0.340493,0.668255,-0.5,49,2
3.79754e-09,0.0703162,1,3.24834e+06,0.00425125,0.584905,37.7462,2.0353,1.25592e+08,0.0411247,99693.2,371.586,1.00678e-09,1858.83,150.14,8.87789,1.92901e-16,0.363192,0.712805,-0.5,50,2
3.21665e-09,0.0426446,1,2.35407e+06,0.00468635,0.585234,18.0084,2.03282,1.09756e+08,0.024956,99771.5,371.664,1.00827e-09,714.546,148.956,8.94348,4.49309e-16,0.385892,0.757356,-0.5,51,2
2.74427e-09,0.0332118,1,1.94113e+06,0.00498429,0.585513,10.3892,2.02913,8.95494e+07,0.0194457,99854.9,371.788,1.01052e-09,303.808,147.594,8.7782,2.01908e-16,0.408592,0.801906,-0.5,52,2
2.36947e-09,0.0289027,1,1.72356e+06,0.00517823,0.585757,7.06797,2.02537,7.16406e+07,0.0169297,99929.4,371.906,1.01284e-09,158.966,146.376,8.60993,-9.02432e-16,0.431291,0.846456,-0.5,53,2
2.1883e-09,0.0262424,1,1.62807e+06,0.00527452,0.586083,5.41059,2.02377,6.5335e+07,0.01538,100001,371.966,1.0138e-09,101.355,145.597,8.50217,-5.41501e-16,0.453991,0.891007,-0.5,54,2
-6.01334e-09,0.0058131,1,5.24566e+06,0.00357029,0.579589,132.441,1.91957,46679.1,0.00396375,99667,374.894,1.0873e-09,24163.1,0,0,0,0.191342,0.46194,-0.5,55,2
-2.78933e-09,0.09173,1,6.36156e+06,0.00337449,0.582475,163.751,1.95597,4.87357e+06,0.0535061,99885.2,373.878,1.06078e-09,26592.3,95.8829,15.5397,1.37309e-16,0.210476,0.508134,-0.5,56,2
1.79938e-09,0.13249,1,7.75387e+06,0.00313828,0.583535,188.416,2.0017,1.85782e+07,0.0772857,99696.7,372.497,1.0284e-09,24704.8,139.507,3.16673,2.26533e-16,0.22961,0.554328,-0.5,57,2
4.06966e-09,0.167541,1,7.52291e+06,0.00317126,0.582854,160.172,2.02261,7.13722e+07,0.097675,99412,371.859,1.01507e-09,14881.3,150.357,10.1839,2.87366e-16,0.248744,0.600522,-0.5,58,2
4.69757e-09,0.151463,1,5.69429e+06,0.00353712,0.584147,103.012,2.03552,1.25337e+08,0.0884722,99552.6,371.556,1.00675e-09,6487.93,151.542,8.60948,-4.92305e-17,0.267878,0.646716,-0.5,59,2
4.10064e-09,0.0880417,1,3.57826e+06,0.00412542,0.584449,47.9792,2.03689,1.36033e+08,0.0514542,99597.8,371.526,1.00586e-09,2403.09,151.248,9.44573,-8.14601e-17,0.287013,0.69291,-0.5,60,2
3.48829e-09,0.0510616,1,2.47047e+06,0.00461355,0.584714,21.4575,2.035,1.23444e+08,0.0298562,99658.5,371.579,1.007e-09,834.607,150.213,9.80126,1.30118e-16,0.306147,0.739104,-0.5,61,2
2.95889e-09,0.0370132,1,1.9857e+06,0.00494896,0.585003,11.7062,2.03116,9.9357e+07,0.0216525,99742.8,371.702,1.00933e-09,342.815,148.73,10.0863,2.07319e-17,0.325281,0.785298,-0.5,62,2
2.53044e-09,0.0308911,1,1.71907e+06,0.00518578,0.585313,7.67545,2.02717,7.91053e+07,0.0180808,99834.4,371.841,1.01177e-09,174.413,147.423,9.96817,-1.4785e-16,0.344415,0.831492,-0.5,63,2
2.26496e-09,0.0270118,1,1.59661e+06,0.00530923,0.585661,5.69986,2.0245,6.75764e+07,0.0158195,99917.8,371.926,1.0134e-09,108.76,146.355,10.084,-7.4908e-16,0.363549,0.877686,-0.5,64,2
2.19852e-09,0.0245946,1,1.56173e+06,0.00534721,0.586168,4.70711,2.02454,6.87e+07,0.0144161,100007,371.933,1.01331e-09,81.1999,145.647,10.0946,-4.66995e-16,0.382684,0.92388,-0.5,65,2
-5.45837e-09,0.00604605,1,5.2438e+06,0.00357071,0.57722,144.014,1.92114,49999.5,0.00410567,99217.6,374.731,1.08647e-09,27169.2,0,0,0,0.154508,0.475528,-0.5,66,2
-1.46533e-09,0.0964108,1,6.83611e+06,0.00330979,0.581418,166.379,1.96628,2.05024e+07,0.0561698,99602.2,373.509,1.05416e-09,26534.4,118.916,6.78029,-2.72723e-16,0.169959,0.523081,-0.5,67,2
3.61108e-09,0.15031,1,8.21566e+06,0.00307516,0.583571,182.164,2.01818,5.79899e+07,0.0876601,99557.3,371.976,1.01781e-09,20943.9,146.338,-0.178665,2.2117e-16,0.18541,0.570634,-0.5,68,2
4.92754e-09,0.172779,1,6.79361e+06,0.00330938,0.582543,140.56,2.03223,1.16478e+08,0.10065,99262.3,371.517,1.00909e-09,10960,153.618,9.8136,1.13575e-16,0.200861,0.618187,-0.5,69,2
4.66788e-09,0.124249,1,4.38439e+06,0.00387102,0.583656,73.5764,2.03892,1.51883e+08,0.072521,99428.9,371.419,1.00473e-09,3946.75,153.366,9.2827,-2.04581e-16,0.216312,0.665739,-0.5,70,2
3.90753e-09,0.0621968,1,2.75469e+06,0.00445624,0.583974,29.9188,2.03782,1.42121e+08,0.0363215,99503.9,371.484,1.00536e-09,1313.4,152.093,10.5688,-4.33153e-17,0.231763,0.713292,-0.5,71,2
3.31004e-09,0.0398607,1,2.09573e+06,0.00486648,0.584296,14.335,2.03433,1.18362e+08,0.0232914,99585.9,371.579,1.00747e-09,473.99,150.627,11.0091,3.53797e-16,0.247214,0.760845,-0.5,72,2
2.78683e-09,0.0324402,1,1.74359e+06,0.00516421,0.584665,8.81026,2.02984,9.07659e+07,0.0189664,99689.1,371.72,1.0102e-09,218.418,149.013,11.7106,-2.92088e-18,0.262664,0.808398,-0.5,73,2
2.46562e-09,0.0279785,1,1.5768e+06,0.00533189,0.585148,6.23969,2.02698,7.75197e+07,0.0163712,99801.4,371.826,1.01192e-09,126.027,147.751,11.6441,-3.24594e-16,0.278115,0.855951,-0.5,74,2
2.33813e-09,0.0248816,1,1.53032e+06,0.00538342,0.585713,4.91768,2.02629,7.56991e+07,0.0145731,99907.2,371.871,1.01227e-09,87.6959,146.618,11.982,1.25763e-16,0.293566,0.903504,-0.5,75,2
2.33254e-09,0.0233002,1,1.52231e+06,0.0053928,0.586365,4.2961,2.02739,8.20411e+07,0.0136622,100014,371.866,1.0115e-09,71.4074,145.694,11.8439,3.69047e-16,0.309017,0.951057,-0.5,76,2
-1.89521e-09,0.00611228,1,5.23619e+06,0.00357245,0.572985,147.281,1.94922,856955,0.00412023,98193.2,373.608,1.0665e-09,28305.2,0,0,0,0.116723,0.486185,-0.5,77,2
2.05852e-09,0.104315,1,7.14128e+06,0.0032754,0.578523,169.18,1.99427,1.02351e+08,0.0605392,98829.7,372.482,1.03553e-09,25953,136.28,4.77747,7.23058e-17,0.128395,0.534803,-0.5,78,2
6.16723e-09,0.172379,1,8.24159e+06,0.0030797,0.582376,177.715,2.03977,1.78885e+08,0.100326,99149.6,371.235,1.00447e-09,17777.4,154.516,-0.534583,3.91804e-18,0.140067,0.583422,-0.5,79,2
5.82668e-09,0.163832,1,5.83247e+06,0.00351363,0.581686,117.996,2.04259,1.80527e+08,0.0952603,99002.5,371.107,1.0028e-09,7867.13,157.461,10.3486,-1.32895e-16,0.151739,0.63204,-0.5,80,2
4.70254e-09,0.0889693,1,3.40726e+06,0.00418968,0.582757,49.0935,2.04206,1.78144e+08,0.051853,99225.1,371.243,1.00296e-09,2469.28,155.682,10.4408,3.50498e-17,0.163412,0.680659,-0.5,81,2
3.81438e-09,0.0466121,1,2.29925e+06,0.00472654,0.583225,19.7478,2.03834,1.43649e+08,0.0271834,99354.1,371.414,1.00515e-09,783.534,153.278,12.3131,1.82884e-16,0.175084,0.729277,-0.5,82,2
3.25128e-09,0.0353998,1,1.8379e+06,0.00507841,0.583811,10.7002,2.0347,1.19226e+08,0.0206658,99484.3,371.52,1.00732e-09,303.153,151.525,12.7685,3.42128e-17,0.186756,0.777896,-0.5,83,2
2.76911e-09,0.030624,1,1.59094e+06,0.00531748,0.584373,7.27331,2.03033,9.2686e+07,0.0178948,99621.6,371.665,1.00994e-09,158.199,149.666,13.6821,1.77773e-16,0.198429,0.826514,-0.5,84,2
2.52507e-09,0.0264402,1,1.50169e+06,0.00541785,0.585022,5.41931,2.02835,8.35601e+07,0.0154675,99758.3,371.761,1.01108e-09,100.61,148.228,13.4626,-3.07965e-16,0.210101,0.875133,-0.5,85,2
2.4566e-09,0.0239876,1,1.48713e+06,0.00543519,0.585687,4.51095,2.02856,8.61716e+07,0.014049,99877.6,371.807,1.01085e-09,76.4364,146.892,13.8353,-2.90508e-16,0.221773,0.923751,-0.5,86,2
2.40227e-09,0.0226182,1,1.47668e+06,0.00544823,0.586346,4.06712,2.02895,8.94606e+07,0.013262,99996.4,371.844,1.01052e-09,65.849,145.649,13.8113,5.23319e-16,0.233445,0.97237,-0.5,87,2
2.53291e-09,0.00613842,1,5.19974e+06,0.00358078,0.568052,148.419,1.98569,4.9736e+06,0.00410229,96993.4,372.277,1.04137e-09,28608.5,0,0,0,0.0782172,0.493844,-0.5,88,2
5.91732e-09,0.116369,1,7.41441e+06,0.00324851,0.574703,174.601,2.02443,3.1135e+08,0.0671787,97885,371.4,1.01598e-09,25433.1,152.321,6.99419,-3.72812e-17,0.0860389,0.543229,-0.5,89,2
8.42943e-09,0.182886,1,8.02998e+06,0.0031286,0.580303,172.59,2.05837,4.79672e+08,0.106101,98609.9,370.562,9.93583e-10,15768.8,161.738,1.60179,-1.81512e-16,0.0938606,0.592613,-0.5,90,2
6.63352e-09,0.145158,1,4.93808e+06,0.00372835,0.58037,96.5147,2.05279,3.25854e+08,0.0841894,98662,370.679,9.96869e-10,5849.95,161.172,12.055,-1.93814e-16,0.101682,0.641997,-0.5,91,2
4.87484e-09,0.0672651,1,2.81236e+06,0.00445152,0.581644,33.7313,2.04596,2.30741e+08,0.0391258,98973.9,370.997,1.00079e-09,1553.44,158.097,12.1685,1.59756e-16,0.109504,0.691382,-0.5,92,2
3.83691e-09,0.0419093,1,1.99594e+06,0.00493799,0.582397,14.7654,2.03973,1.52826e+08,0.024406,99186.9,371.304,1.00442e-09,481.741,154.648,14.3969,8.04423e-17,0.117326,0.740766,-0.5,93,2
3.34625e-09,0.0342844,1,1.67925e+06,0.00522777,0.583349,9.00922,2.03696,1.34754e+08,0.0199992,99382.5,371.443,1.00599e-09,215.323,152.391,14.4855,-1.39566e-16,0.125148,0.790151,-0.5,94,2
2.86496e-09,0.0289723,1,1.49653e+06,0.005426,0.584157,6.38499,2.03245,1.04803e+08,0.0169235,99552.8,371.589,1.00866e-09,127.259,150.152,15.4308,1.08883e-16,0.132969,0.839535,-0.5,95,2
2.62538e-09,0.0251025,1,1.44347e+06,0.00548962,0.584899,4.93231,2.03039,9.40901e+07,0.014682,99706.9,371.705,1.00983e-09,87.4247,148.517,15.2176,-9.68292e-17,0.140791,0.88892,-0.5,96,2
2.53143e-09,0.0230602,1,1.44129e+06,0.00549213,0.585579,4.24577,2.03008,9.39839e+07,0.0135033,99839.3,371.771,1.00992e-09,70.376,147.085,15.6245,-2.23611e-16,0.148613,0.938304,-0.5,97,2
2.37198e-09,0.0217387,1,1.41882e+06,0.00552159,0.586251,3.86943,2.0288,8.87147e+07,0.0127441,99976.5,371.844,1.01062e-09,62.0258,145.647,15.6895,3.00893e-16,0.156434,0.987688,-0.5,98,2
6.00559e-09,0.00613565,1,5.15505e+06,0.00359111,0.563178,148.033,2.01378,2.70012e+07,0.00406525,95856.3,371.097,1.02359e-09,28525.8,0,0,0,0.0392295,0.498459,-0.5,99,2
9.1694e-09,0.129634,1,7.53522e+06,0.00323937,0.570695,180.399,2.04925,9.71328e+08,0.0744276,96953.8,370.463,1.00111e-09,24997.7,164.488,12.6423,-3.15147e-17,0.0431525,0.548304,-0.5,100,2
1.06871e-08,0.185264,1,7.68153e+06,0.00320936,0.577804,166.046,2.07806,1.39206e+09,0.107046,98013.6,369.95,9.82482e-10,14296.8,168.51,6.4707,-1.09616e-17,0.0470754,0.59815,-0.5,101,2
7.66753e-09,0.12493,1,4.1796e+06,0.00394006,0.578885,77.2344,2.06669,6.93671e+08,0.072245,98277.8,370.229,9.88874e-10,4373.2,164.762,16.225,4.69126e-17,0.0509984,0.647996,-0.5,102,2
5.26995e-09,0.055863,1,2.42609e+06,0.00466396,0.580687,25.0061,2.0529,3.52904e+08,0.0324362,98719.4,370.691,9.96784e-10,1048.83,160.22,15.4916,5.62615e-17,0.0549214,0.697842,-0.5,103,2
3.94751e-09,0.0384536,1,1.80279e+06,0.0051084,0.581758,12.0354,2.04214,1.73282e+08,0.0223681,99029.3,371.137,1.00306e-09,348.155,155.884,17.6455,-1.14037e-16,0.0588443,0.747688,-0.5,104,2
3.38565e-09,0.0318969,1,1.5563e+06,0.00536146,0.583023,7.86069,2.03834,1.43647e+08,0.0185952,99304.9,371.367,1.00518e-09,176.394,152.914,17.2638,8.05757e-18,0.0627673,0.797534,-0.5,105,2
2.90975e-09,0.0271084,1,1.41571e+06,0.00552605,0.584035,5.76011,2.03385,1.13406e+08,0.0158312,99515.3,371.539,1.00781e-09,110.94,150.299,17.8376,1.56956e-16,0.0666902,0.84738,-0.5,106,2
2.64629e-09,0.0239254,1,1.38466e+06,0.00556633,0.584838,4.59039,2.03124,9.85919e+07,0.0139921,99685.7,371.679,1.00931e-09,79.5351,148.651,17.2577,5.30935e-17,0.0706132,0.897226,-0.5,107,2
2.54748e-09,0.022403,1,1.38606e+06,0.00556462,0.585552,4.06218,2.03088,9.83268e+07,0.0131179,99824.6,371.754,1.00943e-09,66.3128,147.215,17.6072,5.97379e-18,0.0745362,0.947071,-0.5,108,2
2.33091e-09,0.0212975,1,1.35411e+06,0.00560894,0.58623,3.73662,2.02866,8.83173e+07,0.012485,99967.4,371.84,1.01071e-09,59.0325,145.639,17.6865,3.04089e-17,0.0784591,0.996917,-0.5,109,2
8.9668e-09,0.00612425,1,5.10044e+06,0.00360389,0.558953,147.225,2.03838,8.77283e+07,0.00402729,94870,370.026,1.00869e-09,28275.1,0,0,0,0,0.5,-0.5,110,2
1.15981e-08,0.140425,1,7.31143e+06,0.00326612,0.567116,184.129,2.06871,1.6459e+09,0.0802135,96152.7,369.676,9.89821e-10,24522.7,174.537,21.009,-2.58601e-17,-6.10623e-17,0.55,-0.5,111,2
1.19293e-08,0.181188,1,7.01237e+06,0.00334764,0.575319,157.621,2.09028,2.24858e+09,0.104241,97501.8,369.564,9.75852e-10,13038.4,173.894,13.073,-2.7722e-18,-6.66134e-17,0.6,-0.5,112,2
8.16528e-09,0.104858,1,3.52676e+06,0.00415531,0.577348,60.3104,2.0758,1.03647e+09,0.0604589,97946,370.008,9.83778e-10,3183.73,166.991,21.4595,2.51922e-17,-7.21645e-17,0.65,-0.5,113,2
5.64868e-09,0.0494336,1,2.15553e+06,0.00484147,0.579833,19.3505,2.06022,5.25369e+08,0.02866,98499.1,370.513,9.92546e-10,701.74,161.505,19.7511,2.14886e-18,-7.77156e-17,0.7,-0.5,114,2
4.16998e-09,0.0369337,1,1.65083e+06,0.00525455,0.581263,10.3396,2.04666,2.28305e+08,0.0214658,98886.1,370.99,1.00039e-09,263.995,156.68,21.6277,-2.07283e-17,-8.32667e-17,0.75,-0.5,115,2
3.45868e-09,0.0311733,1,1.45898e+06,0.00547402,0.58279,7.21136,2.04034,1.62467e+08,0.0181658,99228.1,371.286,1.004e-09,150.873,153.218,21.0225,4.39496e-18,-8.88178e-17,0.8,-0.5,116,2
2.94599e-09,0.0262526,1,1.35118e+06,0.00561243,0.583971,5.37263,2.03512,1.22355e+08,0.0153297,99485.7,371.491,1.00704e-09,99.2666,150.212,21.4427,4.13405e-17,-9.4369e-17,0.85,-0.5,117,2
2.63907e-09,0.0233036,1,1.32671e+06,0.00564619,0.584888,4.38097,2.03179,1.02114e+08,0.0136296,99693.2,371.643,1.00896e-09,74.2218,148.331,20.6569,2.02561e-17,-9.99201e-17,0.9,-0.5,118,2
2.51036e-09,0.0219204,1,1.32683e+06,0.0056459,0.585617,3.94945,2.03092,9.85959e+07,0.0128368,99845.8,371.729,1.0094e-09,64.0509,146.869,20.4222,1.18053e-16,-1.05471e-16,0.95,-0.5,119,2
2.2752e-09,0.0207887,1,1.29449e+06,0.00569326,0.586236,3.63256,2.02825,8.63941e+07,0.0121869,99981,371.832,1.01097e-09,57.1596,145.45,19.8499,1.89616e-16,0,1,-0.5,120,2
